ServiceStationNo,ObservationNo,PriceDate,PriceTime
1,1,2023-02-01,00:00
2,2,2023-02-01,00:20
3,3,2023-02-01,00:59
4,4,2023-02-01,01:00
5,5,2023-02-01,04:00
6,6,2023-02-01,04:10
7,7,2023-02-01,04:11
6,8,2023-02-01,04:11
8,9,2023-02-01,04:52
9,10,2023-02-01,04:54
10,11,2023-02-01,04:57
11,12,2023-02-01,04:59
12,13,2023-02-01,05:01
13,14,2023-02-01,05:01
14,15,2023-02-01,05:02
15,16,2023-02-01,05:04
16,17,2023-02-01,05:07
17,18,2023-02-01,05:10
18,19,2023-02-01,05:13
19,20,2023-02-01,05:13
20,21,2023-02-01,05:17
21,22,2023-02-01,05:20
22,23,2023-02-01,05:38
23,24,2023-02-01,05:41
24,25,2023-02-01,05:43
25,26,2023-02-01,05:44
26,27,2023-02-01,05:45
27,28,2023-02-01,05:49
28,29,2023-02-01,05:56
29,30,2023-02-01,05:56
30,31,2023-02-01,05:57
31,32,2023-02-01,06:00
32,33,2023-02-01,06:02
33,34,2023-02-01,06:04
34,35,2023-02-01,06:06
35,36,2023-02-01,06:13
36,37,2023-02-01,06:14
37,38,2023-02-01,06:14
38,39,2023-02-01,06:14
39,40,2023-02-01,06:15
40,41,2023-02-01,06:16
41,42,2023-02-01,06:17
42,43,2023-02-01,06:18
43,44,2023-02-01,06:23
44,45,2023-02-01,06:23
45,46,2023-02-01,06:26
46,47,2023-02-01,06:26
47,48,2023-02-01,06:26
48,49,2023-02-01,06:28
48,50,2023-02-01,06:28
45,51,2023-02-01,06:28
46,52,2023-02-01,06:28
48,53,2023-02-01,06:30
49,54,2023-02-01,06:30
49,55,2023-02-01,06:30
50,56,2023-02-01,06:32
51,57,2023-02-01,06:38
52,58,2023-02-01,06:42
53,59,2023-02-01,06:42
54,60,2023-02-01,06:47
54,61,2023-02-01,06:48
55,62,2023-02-01,06:50
52,63,2023-02-01,06:56
52,64,2023-02-01,06:56
56,65,2023-02-01,06:56
57,66,2023-02-01,06:56
58,67,2023-02-01,06:56
59,68,2023-02-01,06:56
60,69,2023-02-01,06:58
60,70,2023-02-01,06:58
57,71,2023-02-01,06:58
58,72,2023-02-01,06:58
58,73,2023-02-01,06:58
61,74,2023-02-01,07:00
62,75,2023-02-01,07:00
63,76,2023-02-01,07:02
64,77,2023-02-01,07:02
65,78,2023-02-01,07:02
66,79,2023-02-01,07:02
66,80,2023-02-01,07:02
67,81,2023-02-01,07:02
61,82,2023-02-01,07:02
68,83,2023-02-01,07:02
69,84,2023-02-01,07:02
69,85,2023-02-01,07:02
70,86,2023-02-01,07:02
71,87,2023-02-01,07:02
72,88,2023-02-01,07:04
63,89,2023-02-01,07:04
73,90,2023-02-01,07:05
74,91,2023-02-01,07:05
64,92,2023-02-01,07:06
64,93,2023-02-01,07:06
75,94,2023-02-01,07:06
76,95,2023-02-01,07:15
77,96,2023-02-01,07:15
78,97,2023-02-01,07:15
79,98,2023-02-01,07:15
80,99,2023-02-01,07:15
81,100,2023-02-01,07:17
82,101,2023-02-01,07:18
83,102,2023-02-01,07:18
84,103,2023-02-01,07:20
85,104,2023-02-01,07:20
86,105,2023-02-01,07:22
87,106,2023-02-01,07:22
88,107,2023-02-01,07:22
89,108,2023-02-01,07:22
90,109,2023-02-01,07:22
91,110,2023-02-01,07:22
92,111,2023-02-01,07:22
92,112,2023-02-01,07:22
93,113,2023-02-01,07:22
94,114,2023-02-01,07:24
94,115,2023-02-01,07:24
95,116,2023-02-01,07:24
96,117,2023-02-01,07:24
97,118,2023-02-01,07:24
90,119,2023-02-01,07:24
91,120,2023-02-01,07:24
91,121,2023-02-01,07:24
98,122,2023-02-01,07:24
99,123,2023-02-01,07:24
99,124,2023-02-01,07:24
100,125,2023-02-01,07:24
101,126,2023-02-01,07:25
102,127,2023-02-01,07:26
101,128,2023-02-01,07:26
103,129,2023-02-01,07:28
103,130,2023-02-01,07:28
104,131,2023-02-01,07:28
105,132,2023-02-01,07:28
105,133,2023-02-01,07:28
96,134,2023-02-01,07:28
87,135,2023-02-01,07:28
106,136,2023-02-01,07:28
89,137,2023-02-01,07:28
107,138,2023-02-01,07:29
108,139,2023-02-01,07:32
109,140,2023-02-01,07:32
110,141,2023-02-01,07:34
110,142,2023-02-01,07:34
111,143,2023-02-01,07:38
112,144,2023-02-01,07:38
112,145,2023-02-01,07:38
113,146,2023-02-01,07:39
114,147,2023-02-01,07:40
115,148,2023-02-01,07:41
116,149,2023-02-01,07:41
117,150,2023-02-01,07:42
118,151,2023-02-01,07:47
119,152,2023-02-01,07:47
120,153,2023-02-01,07:47
121,154,2023-02-01,07:54
122,155,2023-02-01,07:58
123,156,2023-02-01,08:04
124,157,2023-02-01,08:04
125,158,2023-02-01,08:06
126,159,2023-02-01,08:06
115,160,2023-02-01,08:07
62,161,2023-02-01,08:10
127,162,2023-02-01,08:11
29,163,2023-02-01,08:11
128,164,2023-02-01,08:13
129,165,2023-02-01,08:14
130,166,2023-02-01,08:15
131,167,2023-02-01,08:15
31,168,2023-02-01,08:15
45,169,2023-02-01,08:16
132,170,2023-02-01,08:16
133,171,2023-02-01,08:16
134,172,2023-02-01,08:17
135,173,2023-02-01,08:17
136,174,2023-02-01,08:18
137,175,2023-02-01,08:18
138,176,2023-02-01,08:18
139,177,2023-02-01,08:18
140,178,2023-02-01,08:19
141,179,2023-02-01,08:20
142,180,2023-02-01,08:20
45,181,2023-02-01,08:20
143,182,2023-02-01,08:22
143,183,2023-02-01,08:22
144,184,2023-02-01,08:22
145,185,2023-02-01,08:23
146,186,2023-02-01,08:23
147,187,2023-02-01,08:23
148,188,2023-02-01,08:23
149,189,2023-02-01,08:24
150,190,2023-02-01,08:26
151,191,2023-02-01,08:26
152,192,2023-02-01,08:30
39,193,2023-02-01,08:30
153,194,2023-02-01,08:31
154,195,2023-02-01,08:32
155,196,2023-02-01,08:33
156,197,2023-02-01,08:35
157,198,2023-02-01,08:35
158,199,2023-02-01,08:36
159,200,2023-02-01,08:36
160,201,2023-02-01,08:36
161,202,2023-02-01,08:37
162,203,2023-02-01,08:40
163,204,2023-02-01,08:41
47,205,2023-02-01,08:42
164,206,2023-02-01,08:44
165,207,2023-02-01,08:45
166,208,2023-02-01,08:48
167,209,2023-02-01,08:48
168,210,2023-02-01,08:50
95,211,2023-02-01,08:54
52,212,2023-02-01,08:54
169,213,2023-02-01,08:58
170,214,2023-02-01,09:03
171,215,2023-02-01,09:05
172,216,2023-02-01,09:07
173,217,2023-02-01,09:08
174,218,2023-02-01,09:09
175,219,2023-02-01,09:14
176,220,2023-02-01,09:14
177,221,2023-02-01,09:14
178,222,2023-02-01,09:14
179,223,2023-02-01,09:14
80,224,2023-02-01,09:15
79,225,2023-02-01,09:15
77,226,2023-02-01,09:15
180,227,2023-02-01,09:15
181,228,2023-02-01,09:17
182,229,2023-02-01,09:17
183,230,2023-02-01,09:19
184,231,2023-02-01,09:20
185,232,2023-02-01,09:20
79,233,2023-02-01,09:20
186,234,2023-02-01,09:20
183,235,2023-02-01,09:22
187,236,2023-02-01,09:23
188,237,2023-02-01,09:23
189,238,2023-02-01,09:26
190,239,2023-02-01,09:29
191,240,2023-02-01,09:30
192,241,2023-02-01,09:30
193,242,2023-02-01,09:30
194,243,2023-02-01,09:30
195,244,2023-02-01,09:30
196,245,2023-02-01,09:30
168,246,2023-02-01,09:30
197,247,2023-02-01,09:36
198,248,2023-02-01,09:36
199,249,2023-02-01,09:36
200,250,2023-02-01,09:36
201,251,2023-02-01,09:36
202,252,2023-02-01,09:36
203,253,2023-02-01,09:36
204,254,2023-02-01,09:38
205,255,2023-02-01,09:40
206,256,2023-02-01,09:43
207,257,2023-02-01,09:45
208,258,2023-02-01,09:45
209,259,2023-02-01,09:46
210,260,2023-02-01,09:52
211,261,2023-02-01,09:52
212,262,2023-02-01,09:52
213,263,2023-02-01,09:53
214,264,2023-02-01,09:54
214,265,2023-02-01,09:54
214,266,2023-02-01,09:54
215,267,2023-02-01,09:54
216,268,2023-02-01,09:54
216,269,2023-02-01,09:54
217,270,2023-02-01,09:55
216,271,2023-02-01,09:56
218,272,2023-02-01,09:56
12,273,2023-02-01,09:56
219,274,2023-02-01,09:56
220,275,2023-02-01,09:56
221,276,2023-02-01,09:58
117,277,2023-02-01,09:58
222,278,2023-02-01,09:59
223,279,2023-02-01,10:00
224,280,2023-02-01,10:02
164,281,2023-02-01,10:02
52,282,2023-02-01,10:02
52,283,2023-02-01,10:02
225,284,2023-02-01,10:02
226,285,2023-02-01,10:02
227,286,2023-02-01,10:04
227,287,2023-02-01,10:04
228,288,2023-02-01,10:04
225,289,2023-02-01,10:04
229,290,2023-02-01,10:05
230,291,2023-02-01,10:06
231,292,2023-02-01,10:06
232,293,2023-02-01,10:06
233,294,2023-02-01,10:06
233,295,2023-02-01,10:06
228,296,2023-02-01,10:06
234,297,2023-02-01,10:06
235,298,2023-02-01,10:07
236,299,2023-02-01,10:14
