Observation,FuelCode,Price
1,P95,196.9
1,PDL,212.9
1,U91,188.9
1,E10,186.9
1,P98,205.9
2,E10,166.7
2,PDL,193.9
3,P98,185.5
3,U91,165.5
3,E10,163.5
4,U91,165.5
4,E10,163.5
4,P98,185.5
5,DL,199.7
5,PDL,201.7
6,U91,175.9
6,P95,190.9
6,E10,168.9
7,U91,174.9
7,P95,190.9
7,E10,167.9
8,P95,191.9
9,P98,184.7
9,U91,164.7
9,E10,162.7
10,U91,166.5
10,DL,192.9
10,E10,164.5
11,DL,196.9
12,PDL,193.9
12,P98,186.9
12,E10,164.9
12,U91,166.9
13,PDL,193.9
13,E10,171.9
14,U91,166.9
14,E10,164.9
15,PDL,197.9
15,E10,175.9
16,PDL,197.9
16,E10,175.9
16,U91,177.9
17,E10,162.9
17,U91,164.9
17,P98,188.9
17,DL,192.9
18,DL,195.9
18,PDL,197.9
19,P98,194.9
19,PDL,197.9
19,E10,172.9
19,U91,174.9
19,DL,197.9
20,DL,218.9
21,PDL,207.7
21,LPG,107.7
21,U91,173.7
21,DL,205.7
21,P95,185.7
21,P98,193.7
22,E10,163.7
22,U91,165.7
22,P98,185.7
23,PDL,205.9
24,E10,163.5
25,P95,192
25,U91,182
26,PDL,205.9
26,E10,172.9
26,P98,197.9
27,U91,211.9
27,P98,234.9
27,E10,209.9
27,DL,197.9
28,PDL,194.7
28,U91,165.5
28,E10,163.5
28,P98,185.5
29,U91,187
30,PDL,235.9
31,PDL,198.9
31,E10,166.7
31,U91,168.7
32,U91,163.5
33,U91,181.9
33,E10,178.9
34,E10,169.9
34,U91,171.9
34,P98,195.9
35,U91,181.9
35,P98,201.9
36,DL,199.7
36,U91,174.7
36,E10,172.7
36,P98,194.7
36,P95,187.7
37,U91,170.9
37,PDL,199.9
38,U91,177.5
38,P98,197.5
38,E10,175.5
39,PDL,199.7
39,U91,174.7
39,E10,172.7
39,P98,194.7
40,P95,226.9
40,U91,211.9
40,DL,201.9
40,E10,209.9
40,PDL,210.9
41,E10,182.9
41,P98,204.9
41,U91,184.9
42,DL,212.9
43,P95,206.9
44,U91,179.9
44,PDL,209.9
45,U91,174.9
45,E10,172.9
45,P98,197.9
46,P95,180.5
47,P98,197.9
48,U91,170.9
48,P95,182.9
48,P98,190.9
48,E10,168.9
49,P98,188.5
50,E10,166.5
51,U91,168.5
51,P98,188.5
51,E10,166.5
52,U91,177.9
52,E10,175.9
53,U91,168.5
54,U91,168.7
54,P98,188.7
55,E10,166.7
56,E10,163.9
56,U91,165.9
56,P98,187.9
56,P95,182.9
57,P95,221.9
57,P98,229.9
57,E10,204.9
58,PDL,235.9
59,DL,188.5
60,E10,172.9
61,DL,205.9
62,E10,174.9
62,U91,176.9
62,P95,189.9
62,P98,197.9
63,U91,166.9
64,P95,178.9
64,P98,186.9
64,E10,164.9
65,U91,182.9
65,P98,202.9
65,E10,180.9
66,P98,187.9
67,P95,190.9
68,U91,167.9
68,P95,179.9
68,P98,187.9
68,E10,165.9
69,U91,167.9
69,P95,179.9
69,P98,187.9
70,E10,165.9
71,U91,167.9
71,P95,179.9
71,E10,165.9
72,U91,178.9
72,P98,198.9
73,E10,176.9
74,P98,187.9
75,E10,163.9
75,PDL,199.9
76,P95,179.9
77,E10,165.9
78,U91,167.9
78,P95,179.9
78,P98,187.9
78,E10,165.9
79,U91,170.9
79,P95,182.9
79,P98,190.9
80,E10,168.9
81,U91,167.9
81,P98,187.9
81,E10,165.9
82,U91,167.9
82,P95,179.9
82,E10,165.9
