ServiceStationNo,ServiceStationName,Address,Suburb,Postcode,Brand
1,Metro Petroleum Ballina,"323 River Street, BALLINA NSW 2478",BALLINA,2478,Metro Fuel
2,Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210,Metro Fuel
3,Speedway Mt Pritchard,"348 Elizabeth Dr, MOUNT PRITCHARD NSW 2170",MOUNT PRITCHARD,2170,Speedway
4,Speedway Meadows,"359 Elizabeth Drive, Mount Pritchard NSW 2170",Mount Pritchard,2170,Speedway
5,BP Greta,"122 High St, GRETA NSW 2334",GRETA,2334,BP
6,Budget Bexley,"295 FOREST RD, BEXLEY NSW 2207",BEXLEY,2207,Budget
7,Budget Oatley,"12B Oatley Parade, Oatley NSW 2223",Oatley,2223,Budget
8,Independent Riverstone,"129 Piccadilly St, Riverstone NSW 2765",Riverstone,2765,Independent
9,Metro Cessnock,"102 Wollombi Rd, CESSNOCK NSW 2325",CESSNOCK,2325,Metro Fuel
10,Medco Windale,"4 Lake Street, Windale NSW 2306",Windale,2306,Independent
11,Metro Petroleum Hunter Valley,"36 WINE COUNTRY DR, CESSNOCK NSW 2325",CESSNOCK,2325,Metro Fuel
12,Metro Sandgate,"61 Maitland Road, SANDGATE NSW 2304",SANDGATE,2304,Metro Fuel
13,Metro Petroleum Bellbird,"380 Wollombi Rd, BELLBIRD NSW 2325",BELLBIRD,2325,Metro Fuel
14,Metro Fuel Abermain,"289 Cessnock Road, Abermain NSW 2326",Abermain,2326,Metro Fuel
15,Metro Petroleum Kurri Kurri Northcote,"47-49 NORTHCOTE ST, KURRI KURRI NSW 2327",KURRI KURRI,2327,Metro Fuel
16,Powerfuel,"60 Hill Road, LURNEA NSW 2170",LURNEA,2170,Independent
17,BP South Nowra,"202 Princes Hwy, South Nowra NSW 2541",South Nowra,2541,BP
18,Metro Petroleum Fyshwick,"15 BARRIER ST, FYSHWICK ACT 2609",FYSHWICK,2609,Metro Fuel
19,Ampol Iluka,"42 SPENSER ST, ILUKA NSW 2466",ILUKA,2466,Ampol
20,Pearl energy Annabay,"4136 NELSON BAY RD, ANNA BAY NSW 2316",ANNA BAY,2316,Independent
21,Speedway Bass Hill,"972 Hume Highway, Bass Hill NSW 2197",Bass Hill,2197,Speedway
22,BP Loftus,"127 Loftus Ave, Loftus NSW 2232",Loftus,2232,BP
23,Metro Fuel Doonside,"198 Hill End Road, Doonside NSW 2767",Doonside,2767,Metro Fuel
24,Independent Guyra,"2 Lagoon St, Guyra NSW 2365",Guyra,2365,Independent
25,BP West Pennant Hills,"48-50 Aiken Road, West Pennant Hills NSW 2125",West Pennant Hills,2125,BP
26,Coles Express Cabramatta,"218 John St (Cnr Cumberland Hwy), Cabramatta NSW 2166",Cabramatta,2166,Coles Express
27,Metro Petroleum West Hoxton,"198 FIFTEENTH AV, WEST HOXTON NSW 2171",WEST HOXTON,2171,Metro Fuel
28,Summers Oxley Vale Takeaway & Superette,"171 Manilla Rd, OXLEY VALE NSW 2340",OXLEY VALE,2340,Transwest Fuels
29,BP Camperdown,"Cnr Parramatta & Missenden Roads, Camperdown NSW 2050",Camperdown,2050,BP
30,Metro Petroleum South Hurstville,"928-930 KING GEORGES RD, BLAKEHURST NSW 2221",BLAKEHURST,2221,Metro Fuel
31,Metro Petroleum Leichhardt,"127-129 MARION ST, LEICHHARDT NSW 2040",LEICHHARDT,2040,Metro Fuel
32,BP Wagga Wagga,"180 EDWARD ST, WAGGA WAGGA NSW 2650",WAGGA WAGGA,2650,BP
33,Metro Fuel Miranda,"220 Port Hacking Road, Miranda NSW 2228",Miranda,2228,Metro Fuel
34,TASCO Wentworth,"17 Sandwych St, WENTWORTH NSW 2648",WENTWORTH,2648,Caltex
35,Mobil Wagga Wagga,"34 DOBNEY AV, WAGGA WAGGA NSW 2650",WAGGA WAGGA,2650,Mobil
36,Metro Petroleum Faulconbridge,"690A GREAT WESTERN HWY, FAULCONBRIDGE NSW 2776",FAULCONBRIDGE,2776,Metro Fuel
37,BUDGET PETROL MASCOT,"1004 Botany Rd., Mascot NSW 2020",Mascot,2020,Budget
38,MOBIL LAKE ALBERT,"53 Gregory Cres, LAKE ALBERT NSW 2650",LAKE ALBERT,2650,Mobil
39,Coles Express Lansvale West,"240 Hume Highway, LANSVALE NSW 2166",LANSVALE,2166,Coles Express
40,Westside Blayney,"27 ORANGE RD, BLAYNEY NSW 2799",BLAYNEY,2799,Westside
41,Independent Forbes,"60 Johnson Street, Forbes NSW 2871",Forbes,2871,Independent
42,SPAR YAMBA,"7 WOOLI ST, YAMBA NSW 2464",YAMBA,2464,Independent
43,Metro Petroleum Wellington,"145 Arthur Street, WELLINGTON NSW 2820",WELLINGTON,2820,Metro Fuel
44,BP Lane Cove,"62-70 Epping Rd, Lane Cove NSW 2066",Lane Cove,2066,BP
45,7-Eleven Georges Hall,"48 SURREY AV, GEORGES HALL NSW 2198",GEORGES HALL,2198,7-Eleven
46,7-Eleven Giralang,"Cnr Canopus Cres & Atalumba Cl, Giralang ACT 2617",Giralang,2617,7-Eleven
47,7-Eleven Baulkham Hills,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",BAULKHAM HILLS,2153,7-Eleven
48,7-Eleven Arndell Park,"180 Reservoir Road, Arndell Park NSW 2148",Arndell Park,2148,7-Eleven
49,7-Eleven Blacktown,"62 Walters Road, Blacktown NSW 2148",Blacktown,2148,7-Eleven
50,Metro Petroleum Chester Hill,"172 Hector St, CHESTER HILL NSW 2162",CHESTER HILL,2162,Metro Fuel
51,Metro Fuel North Avalon,"662-664 Barrenjoey Rd, North Avalon NSW 2107",North Avalon,2107,Metro Fuel
52,7-Eleven Camperdown,"198 Parramatta Rd, CAMPERDOWN NSW 2050",CAMPERDOWN,2050,7-Eleven
53,Medco Petroleum Carlingford,"286-288 Pennant Hills Road, Cnr Adderton Road, Carlingford NSW 2118",Carlingford,2118,Independent
54,SHELL NORTH ROCKS,"264-266 North Rocks Rd, North Rocks NSW 2151",North Rocks,2151,Shell
55,EG Ampol Redfern,"475 Cleveland St, Redfern NSW 2016",Redfern,2016,EG Ampol
56,7-Eleven Lansvale South,"44 Hume Highway & Knight Street, Lansvale South NSW 2166",Lansvale South,2166,7-Eleven
57,7-Eleven Gregory Hills,"1&3 Rodeo Rd (160 Camden Valley Way), Gregory Hills NSW 2557",Gregory Hills,2557,7-Eleven
58,7-Eleven East Maitland,"35 Melbourne St, EAST MAITLAND NSW 2323",EAST MAITLAND,2323,7-Eleven
59,7-Eleven Emerald Hills,"7 Raby Rd, LEPPINGTON NSW 2179",LEPPINGTON,2179,7-Eleven
60,7-Eleven Toongabbie,"3 Metella Road & Corner Cornelia Road, Toongabbie NSW 2146",Toongabbie,2146,7-Eleven
61,7-Eleven Lakemba,"222 King Georges Rd (Cnr Canarys Rd) (Opn 30/6/16), Lakemba NSW 2195",Lakemba,2195,7-Eleven
62,Metro Petroleum Earlwood,"281 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206,Metro Fuel
63,7-Eleven Kings Park,"363 Vardys Road, Kings Park NSW 2148",Kings Park,2148,7-Eleven
64,7-Eleven Carlingford,"243 Pennant Hills Road, Carlingford NSW 2118",Carlingford,2118,7-Eleven
65,7-Eleven Blacktown,"354 Corner Flushcombe Road & Myrtle Street, Blacktown NSW 2148",Blacktown,2148,7-Eleven
66,7-Eleven Edensor Park,"Corner Elizabeth & Cowpasture Roads, Edensor Park NSW 2176",Edensor Park,2176,7-Eleven
67,7-Eleven Epping,"246 Beecroft & Carlingford Roads, Epping NSW 2121",Epping,2121,7-Eleven
68,7-Eleven Ryde,"326-328 Blaxland Road, Ryde NSW 2112",Ryde,2112,7-Eleven
69,7-Eleven Albion Park Rail,"47-57 Princess Highway, ALBION PARK RAIL NSW 2527",ALBION PARK RAIL,2527,7-Eleven
70,7-Eleven Albion Park Rail,"138-142 Princes Highway, ALBION PARK RAIL NSW 2527",ALBION PARK RAIL,2527,7-Eleven
71,BP Rose Bay Central,"777 New South Head Rd, ROSE BAY NSW 2029",ROSE BAY,2029,BP
72,EG Ampol Bass Hill,"862 Hume Highway, Bass Hill NSW 2197",Bass Hill,2197,EG Ampol
73,Ingleburn Fuels,"SHOP 8 24 LAGONDA DR, INGLEBURN NSW 2565",INGLEBURN,2565,Independent
74,Independent Lalor Park,"Lot 8 Comercial Road, Lalor Park NSW 2147",Lalor Park,2147,Independent
